tipo,nombre,etapa,area_responsable,descripcion,monto_contrato,barrio,comuna,direccion,fecha_inicio,fecha_fin_inicial,plazo_meses,porcentaje_avance,licitacion_oferta_empresa,cuit_contratista,licitacion_anio,contratacion_tipo,nro_contratacion,mano_obra,expediente-numero,financiamiento
Espacio Público,Parque Roca: Puesta En Valor De Dos Canchas De Tenis De Piso Cemento - Parque Roca Sector C,Finalizada,Corporación Buenos Aires Sur,"se trata de mejorar los cercos, pisos y demarcacion e iluminacion de dos canchas de tenis a fin de cumplir con las normas de habilitacion para el programa de colónias de verano",1011801.0,villa soldati,8,"roca, cnel. av. 4490",2016-01-12,2016-12-31,6,100.0,Jorge Canelles Ltda,30708832959,2016,Contratación Directa,39-CBAS-2016,indeterminado,indeterminado,indeterminado
Espacio Público,Parque Roca: Obras Complementarias Para Piletas De Natación - Parque Roca Sector C,Finalizada,Corporación Buenos Aires Sur,"se trata de mejorar los cercos, pisos, pintura de pileta a fin de cumplir con las normas de habilitacion para el programa de colónias de verano",285872.0,villa soldati,8,"roca, cnel. av. 4490",2016-01-12,2016-12-31,6,100.0,SOL YEWEN LTDA,30709272981,2016,Contratación Directa,38-CBAS-2016,indeterminado,indeterminado,indeterminado
Espacio Público,Parque Roca: Cerco En Lago - Parque Roca Sector C,Finalizada,Corporación Buenos Aires Sur,realizacion de cerco perimetral al lago soldati a fin de cumplir con las normas de habilitacion para el programa de colónias de verano,351364.0,villa soldati,8,"roca, cnel. av. 4490",2016-01-12,2016-12-31,6,100.0,ANTONIO ALAK LTDA,30709930385,2016,Contratación Directa,37-CBAS-2016,indeterminado,indeterminado,indeterminado
Hidráulica E Infraestructura,Barrio Los Piletones: Ejecución De Calle De Enlace Entre El Complejo Habitacional Los Piletones Y Av. Asturias,Finalizada,Corporación Buenos Aires Sur,"se trata de ejecutar una calle que vincule al complejo habitacional con la av. asturias. hormigón armado, cordones y desagí¼es pluviales",2014379.0,villa soldati,8,plumerillo y asturias av (no oficial),2016-11-24,2017-01-23,2,100.0,Maquivial S.A.I,30548939689,2016,Contratación Directa,29-CBAS-2016,indeterminado,indeterminado,indeterminado
Hidráulica E Infraestructura,Barrio Los Piletones: Obras Complementarias De Infraestructura Y Puesta En Régimen En Barrio Piletones Y Barrio Ramon Carrillo,Finalizada,Corporación Buenos Aires Sur,mejoras en el tendido a fin de poner en funcionamiento las redes de cloaca y agua del barrio los piletones,3268701.0,villa soldati,8,"lacarra av. y barros pazos, jose",2016-12-28,2017-02-26,2,100.0,C&E Construcciones S.A.,30708288361,2016,Contratación Directa,28-CBAS-2016,indeterminado,indeterminado,indeterminado
Arquitectura,Obras Comuna 8: Remodelación De Viviendas Incendiadas En El Conjunto Habitacional 180 Viviendas Sito En Av. Fernández De La Cruz Y Av. Lacarra,Finalizada,Corporación Buenos Aires Sur,"mejoras generales en viviendas: revoques, pisos, pintura, instalaciones, aberturas y techos",1016896.0,villa soldati,8,"fernandez de la cruz, f., gral. av. y lacarra av.",2016-11-21,2017-02-19,3,100.0,COOPAAR LTDA,30708899727,2016,Contratación Directa,27-CBAS-2016,indeterminado,indeterminado,indeterminado
Hidráulica E Infraestructura,"Obras Comuna 8: Retiro De Autos Abandonados, Muebles Y Chatarra En Predio De Futura Apertura Sito En La Calle San Pedrito Entre 27 De Febrero Y Calle Cook",Finalizada,Corporación Buenos Aires Sur,retiro de materiales existentes en predio judicial a fin de realizar la apertura de la calle san pedrito,749302.0,villa soldati,8,"san pedrito y cooke, john w.",2016-08-20,2016-09-19,1,100.0,El Progreso Ltda Hubac,30710270550,2016,Contratación Directa,25-CBAS-2016,indeterminado,indeterminado,indeterminado
Hidráulica E Infraestructura,Barrio Los Piletones: Tendido Eléctrico - Gabinete De Tablero Y Alumbrado,Finalizada,Corporación Buenos Aires Sur,"gabinete de tablero seccional, alumbrado y tendido eléctrico en ch piletones",110918.0,villa soldati,8,plumerillo y asturias av (no oficial),2016-09-09,2016-09-10,6,100.0,ANTONIO ALAK LTDA,30709930385,2016,Contratación Directa,24-CBAS-2016,indeterminado,indeterminado,indeterminado
Arquitectura,"Obras Comuna 8: Reconstrucción De Las Unidades Funcionales 29, 30, 49 Y 50 Del Ch Néstor Kirchner",Finalizada,Corporación Buenos Aires Sur,"mejoras generales en viviendas: revoques, pisos, pintura, instalaciones, aberturas y techos",1760971.0,villa lugano,8,escalada av. 4551,2016-11-08,2016-12-24,2,100.0,El Progreso Ltda Hubac,30710270550,2016,Contratación Directa,21-CBAS-2016,indeterminado,indeterminado,indeterminado
Hidráulica E Infraestructura,Obras Comuna 8: Tendido De Alimentadores Eléctricos Oficinas Cbas - Edificio Cis,Finalizada,Corporación Buenos Aires Sur,"independizacion de tableros, circuitos y alimentadores del cbas con el cis",763546.0,villa soldati,8,"rabanal, francisco, intendente av. 3220",2016-09-05,2017-06-04,9,100.0,Building Co S.R.L,30708969881,2016,Contratación Directa,13-CBAS-2016,indeterminado,indeterminado,indeterminado
Arquitectura,Parque Roca: Remodelación De Cocina Del Sector Tenis - Acceso C - Parque Roca,Finalizada,Corporación Buenos Aires Sur,"pisos, revestimientos, mesada, cielorrasos, pintura",356879.0,villa soldati,8,"roca, cnel. av. 4490",2016-09-09,2016-11-08,2,100.0,Faco S.A,30712463887,2016,Contratacion Menor,06-CBAS-2016,indeterminado,indeterminado,indeterminado
Espacio Público,Distrito Del Deporte: Cerco Perimetral De Cancha De Futbol - Club Social Cultural Y Deportivo Unidos De Mataderos - Av. Eva Perón 7164,Finalizada,Corporación Buenos Aires Sur,"cercos, alumbrado y accesos",315201.0,villa lugano,8,"peron, eva av. 7164",2016-07-26,2016-09-24,2,100.0,Jorge Canelles Ltda,30708832959,2016,Contratacion Menor,05-CBAS-2016,indeterminado,indeterminado,indeterminado
Arquitectura,Distrito Del Deporte: Construcción De Sanitarios Para Personal De Boletería - Club San Lorenzo De Almagro,Finalizada,Corporación Buenos Aires Sur,"tendido cloacal y agua, pisos, sanitarios, iluminación, aberturas y pintura",623000.0,flores,7,"fernandez de la cruz, f., gral. av. 2145",2016-12-12,2017-10-02,6,100.0,Cylp S.A,30567789000,2016,Licitación Privada,05-CBAS-2016,indeterminado,indeterminado,indeterminado
Hidráulica E Infraestructura,Ctc: Obras Complementarias De La Construcción De Un Acceso Provisorio Al Ctc - Traza Parcial Futura Rama 8,Finalizada,Corporación Buenos Aires Sur,"vereda de homigón escobado, traslado de luminarias, trasplante de arboles, reconstruccion de cero olimpico",820006.0,villa soldati,8,27 de febrero av. y autopista presidente héctor j. cámpora,2016-11-11,2017-03-11,4,100.0,Maquivial S.A.I,30548939689,2016,Licitación Privada,04-CBAS-2016,indeterminado,indeterminado,indeterminado
Hidráulica E Infraestructura,Ctc: Construcción De Un Acceso Provisorio Al Centro De Transferencia De Cargas-Traza Parcial Futura Rama 8-Elaboración De Proyecto Ejecutivo Y Pavimentación,Finalizada,Corporación Buenos Aires Sur,ejecución de rampa de acceso al ctc en hormigón,4791914.0,villa soldati,8,27 de febrero av. y autopista presidente héctor j. cámpora,2016-11-11,2017-04-24,5,100.0,Maquivial S.A.I,30548939689,2016,Licitación Privada,03-CBAS-2016,indeterminado,indeterminado,indeterminado
Hidráulica E Infraestructura,Ctc: Modificación De La Intersección De La Av. 27 De Febrero Con La Calle Pergamino,Finalizada,Corporación Buenos Aires Sur,"pavimentos, semaforos, iluminacion",3672574.0,villa soldati,8,27 de febrero av. y pergamino,2016-09-21,2016-12-10,6,100.0,Faco S.A,30712463887,2016,Licitación Privada,01-CBAS-2016,indeterminado,indeterminado,indeterminado
Arquitectura,Barrio Los Piletones: Adecuación Y Refacción Edilicia De Incubadora De Empresas De Base Social - Barrio Los Piletones,Finalizada,Corporación Buenos Aires Sur,"tendido eléctrico y arreglos generales de albañileria, pintura y carpinterias",3808672.0,villa soldati,8,"barros pazos, jose y lacarra av.",2016-09-19,2017-03-18,6,100.0,Building Co S.R.L,30708969881,2016,Licitación Pública,01-CBAS-2016,indeterminado,indeterminado,indeterminado
Espacio Público,Autódromo Oscar Y Alfredo Gálvez: Nuevo Vallado Circuito 12 - Obra Civil - Autódromo De La Ciudad D Buenos Aires,Finalizada,Corporación Buenos Aires Sur,se trata de una mejora en las condiciones del suelo a fin de asentar muros de contención para mejorar la seguridad de la pista del autódromo,11468882.0,villa riachuelo,8,"paz, gral. av. y roca, cnel. av.",2017-02-08,2017-03-25,6,100.0,Arco S.R.L,30657249765,2017,Contratación Directa,50-CBAS-2016,indeterminado,indeterminado,indeterminado
Hidráulica E Infraestructura,Barrio Los Piletones: Pavimentación Con Concreto Asfáltico De Calle Vehicular Continuación Calle Plumerillo - BÂ° Los Piletones,Finalizada,Corporación Buenos Aires Sur,"ejecución de fresado de pavimentación existente, ejecución de nuevo pavimento de concreto asfaltico, cañerí­as de desagí¼es pluviales",2715512.0,villa soldati,8,plumerillo y asturias av (no oficial),2017-02-02,2017-03-04,1,100.0,Maquivial S.A.I,30548939689,2017,Contratación Directa,49-CBAS-2016,indeterminado,indeterminado,indeterminado
Espacio Público,Distrito De Las Artes: Adaptación De Predio Para Traslado De Transformadores - Plaza Usina Del Arte,Finalizada,Corporación Buenos Aires Sur,se trata de una obra para mejorar las condiciones del predio donde se trasladaran los transformadores eletricos ubicados en el pañol que posteriormente será intervenido como plaza verde usina del arte,254512.0,barracas,4,don pedro de mendoza av. 3951,2017-03-29,2017-04-28,1,100.0,Oznerol S.A.,30714746371,2017,Contratación Directa,48-CBAS-2016,indeterminado,indeterminado,indeterminado
Arquitectura,Distrito Del Deporte: Construcción De Muro Perimetral - Asociación Civil Nueva Estrella,Finalizada,Corporación Buenos Aires Sur,ejecución de muro perimetral de 117 ml y 3 mts de altura,1600495.0,villa lugano,8,santander 4602,2017-02-22,2017-08-05,6,100.0,A.E. Ponce Ingenieria S.A.,30714763098,2017,Contratación Directa,47-CBAS-2016,indeterminado,indeterminado,indeterminado
Arquitectura,Obras Comuna 4: Recambio De Cubierta En Quincho Darling Tennis Club,Finalizada,Corporación Buenos Aires Sur,"cambio de techo vegetal por chapas de acero, colocacion de vidrios en tímpanos de la cubierta",1299141.0,la boca,4,brasil av. 34,2017-05-18,2017-07-02,6,100.0,Cylp S.A,30567789000,2017,Contratación Directa,46-CBAS-2016,indeterminado,indeterminado,indeterminado
Arquitectura,Distrito Del Deporte: Anexo Club Torino - Mejoras En Cancha De Futbol,Finalizada,Corporación Buenos Aires Sur,"realización de piso de hormigón llaneado, pintura de demarcación, pintura de paredes interiores, reaparición de canaletas pluviales, iluminación",1366669.0,villa lugano,8,zuviria 4659,2017-01-16,2017-04-16,3,100.0,Jorge Canelles Ltda,30708832959,2017,Contratación Directa,45-CBAS-2016,indeterminado,indeterminado,indeterminado
Espacio Público,Buenos Aires Playa 2017: Parque Indoamericano - Instalación Eléctrica,Finalizada,Corporación Buenos Aires Sur,ejecucion de playa seca para programa bs as playa 2017,72934.0,villa soldati,8,escalada av. y castañares av.,2016-12-28,2017-07-01,6,100.0,Martinez Cesar Javier,20273633325,2017,Contratación Directa,44-CBAS-2016,indeterminado,indeterminado,indeterminado
Espacio Público,Buenos Aires Playa 2017: Parque Indoamericano - Mantenimiento,Finalizada,Corporación Buenos Aires Sur,ejecucion de playa seca para programa bs as playa 2017,375210.0,villa soldati,8,escalada av. y castañares av.,2017-01-05,2017-02-27,1,100.0,EL PRESENTE LTDA,30714459631,2017,Contratación Directa,43-CBAS-2016,indeterminado,indeterminado,indeterminado
Espacio Público,Plaza Noruega,Finalizada,Subsecretarí­a de Gestión Comunal,"se llevó a cabo la puesta en valor de la plaza noruega. se aumentó la superficie verde con plantaciones nuevas, se mejoraron los caminos internos y se crearon espacios de descanso, y se adquirió nuevo equipamiento urbano.",9681112.0,belgrano,13,ciudad de la paz y juramento av.,2017-10-16,2017-08-31,6,100.0,Dagresa Vial Construcciones SRL,33712269079,2017,nan,,indeterminado,indeterminado,indeterminado
Espacio Público,Barrio 26 De Junio: Rejas Perimetrales Centro Parroquial - Barrio 33 Viviendas,Finalizada,Corporación Buenos Aires Sur,se trata de una reja que dividira el acceso cpi del centro parroquial.,755445.0,villa soldati,8,portela y riestra av.,2017-01-17,2017-03-18,2,100.0,SOL YEWEN LTDA,30709272981,2017,Contratación Directa,36-CBAS-2016,indeterminado,indeterminado,indeterminado
Hidráulica E Infraestructura,Barrio 26 De Junio: Obras De Tendido De Agua Potable (Infraestructura) Complejo Habitacional 33 Viviendas,Finalizada,Corporación Buenos Aires Sur,se trata del tendido de la obra de infraestructura (anillo perimetral) para abastecer de agua al barrio.,2275049.0,villa soldati,8,portela y riestra av.,2017-03-14,2017-04-13,1,100.0,Kopar S.A,30707504990,2017,Contratación Directa,35-CBAS-2016,indeterminado,indeterminado,indeterminado
Espacio Público,Barrio Los Piletones: Cercado Y Mejoramiento - Plaza Mz 191 - Ch Piletones,Finalizada,Corporación Buenos Aires Sur,se trata de realizar una reja perimetral a fin de mantener en optimo estado la plaza y evitar vandalismos,950170.0,villa soldati,8,6 de agosto 4000 y 14 de mayo 3000,2016-12-29,2017-01-28,1,100.0,LOS PILETONES LTDA,30710477910,2017,Contratación Directa,32-CBAS-2016,indeterminado,indeterminado,indeterminado
Vivienda,Obras Comuna 1: Restauración Del Frente Luis Saenz Peña Nº 1620- Caba,Finalizada,Corporación Buenos Aires Sur,"puesta en valor de la fachada del edificio ubicado en la calle luis saenz peña 1620, el cual presenta una catalogación singular, con protección cautelar y se encuentra protegido por la ley 3065 por tratarse de un edificio anterior al 1941. las tareas a desarrollarse consisten en la consolidación y restitución de ornamentos, reparación y limpieza de fachadas y pintura de superficie de fachada plana sin ornamentación ni elementos decorativos, además de la reparación y pintura de carpinterí­as y herrerí­a",422723.0,constitucion,1,"saenz peña, luis, pres. 1620",2017-04-21,2017-07-20,3,100.0,Lumi Construcciones S.A.,30711229899,2017,Contratación Directa,09-CBAS-2017,indeterminado,indeterminado,indeterminado
Espacio Público,Barrio Los Piletones: Saneamiento Y Relleno Pileton - Barrio Los Piletones,Finalizada,Corporación Buenos Aires Sur,"conisite en la demolición de losas, vaciado, saneamiento y relleno de las viejas piletas, las cuales dan el nombre a barrio. los mismos se encuentran ubicados en la manzana 4 del barrio los piletones.",937131.0,villa soldati,8,mujeres luchadoras 2850 y esperanza,2017-05-04,2017-05-05,1,100.0,El Progreso Ltda Hubac,30710270550,2017,Contratación Directa,10-CBAS-2017,indeterminado,indeterminado,indeterminado
Espacio Público,Autódromo Oscar Y Alfredo Gálvez: Puesta En Valor Autódromo De Bs. As. Oscar Y Juan Gálvez - Intervención Platea B,Finalizada,Corporación Buenos Aires Sur,la obra consiste en la puesta en valor del autódromo de la ciudad de bs. as. las tareas a ejecutar corresponden a la puesta en valor de la platea b.,3086742.0,villa riachuelo,8,"paz, gral. av. y roca, cnel. av.",2017-11-07,2017-10-08,1,100.0,Kavos S.A.,33707144829,2017,Contratación Directa,13-CBAS-2017,indeterminado,indeterminado,indeterminado
Espacio Público,Autódromo Oscar Y Alfredo Gálvez: Puesta En Valor Autódromo De Bs. As. Oscar Y Juan Gálvez - Intervención Escaleras,Finalizada,Corporación Buenos Aires Sur,"la obra consiste en la puesta en valor del autódromo de la ciudad de bs. as. las tareas a ejecutar corresponden a la puesta en valor de las escaleras de tribunas, plateas y palcos.",1528495.0,villa riachuelo,8,"paz, gral. av. y roca, cnel. av.",2017-10-07,2017-08-24,6,100.0,Piedra Roble S.A,30715288318,2017,Contratación Directa,14-CBAS-2017,indeterminado,indeterminado,indeterminado
Espacio Público,Autódromo Oscar Y Alfredo Gálvez: Puesta En Valor Autódromo De Bs. As. Oscar Y Juan Gálvez - Intervención Palco A,Finalizada,Corporación Buenos Aires Sur,la obra consiste en la puesta en valor del autódromo de la ciudad de bs. as. las tareas a ejecutar corresponden a la puesta en valor de la palco a.,1283329.0,villa riachuelo,8,"paz, gral. av. y roca, cnel. av.",2017-06-15,2017-07-15,1,100.0,Arco S.R.L,30657249765,2017,Contratación Directa,15-CBAS-2017,indeterminado,indeterminado,indeterminado
Espacio Público,Autódromo Oscar Y Alfredo Gálvez: Puesta En Valor Autódromo De Bs. As. Oscar Y Juan Gálvez - Intervención Tribunas De 1 A 4,Finalizada,Corporación Buenos Aires Sur,la obra consiste en la puesta en valor del autódromo de la ciudad de bs. as. las tareas a ejecutar corresponden a la puesta en valor de las tribunas 1 a 4,4614679.0,villa riachuelo,8,"paz, gral. av. y roca, cnel. av.",2017-06-19,2017-08-18,2,100.0,Arco S.R.L,30657249765,2017,Contratación Directa,16-CBAS-2017,indeterminado,indeterminado,indeterminado
Espacio Público,Autódromo Oscar Y Alfredo Gálvez: Puesta En Valor Autódromo De Bs. As. Oscar Y Juan Gálvez - Intervención Tribunas De 5 A 9,Finalizada,Corporación Buenos Aires Sur,la obra consiste en la puesta en valor del autódromo de la ciudad de bs. as. las tareas a ejecutar corresponden a la puesta en valor de las tribunas 5 a 9,4998364.0,villa riachuelo,8,"paz, gral. av. y roca, cnel. av.",2017-06-16,2017-08-30,6,100.0,Arco S.R.L,30657249765,2017,Contratación Directa,17-CBAS-2017,indeterminado,indeterminado,indeterminado
Espacio Público,Autódromo Oscar Y Alfredo Gálvez: Puesta En Valor Autódromo De Bs. As. Oscar Y Juan Gálvez - Intervención Tribunas De 10 A 15,Finalizada,Corporación Buenos Aires Sur,la obra consiste en la puesta en valor del autódromo de la ciudad de bs. as. las tareas a ejecutar corresponden a la puesta en valor de las tribunas 10 a 15,4557686.0,villa riachuelo,8,"paz, gral. av. y roca, cnel. av.",2017-07-07,2017-05-09,2,100.0,Mel Contrucciones S.R.L,33714510679,2017,Contratación Directa,18-CBAS-2017,indeterminado,indeterminado,indeterminado
Espacio Público,Autódromo Oscar Y Alfredo Gálvez: Puesta En Valor Autódromo De Bs. As. Oscar Y Juan Gálvez - Intervención Platea A,Finalizada,Corporación Buenos Aires Sur,la obra consiste en la puesta en valor del autódromo de la ciudad de bs. as. las tareas a ejecutar corresponden a la puesta en valor de la platea a.,4093977.0,villa riachuelo,8,"paz, gral. av. y roca, cnel. av.",2017-12-06,2017-07-27,6,100.0,Faco S.A,30712463887,2017,Contratación Directa,19-CBAS-2017,indeterminado,indeterminado,indeterminado
Espacio Público,Autódromo Oscar Y Alfredo Gálvez: Puesta En Valor Autódromo De Bs. As. Oscar Y Juan Gálvez - Intervención Sanitarios,Finalizada,Corporación Buenos Aires Sur,la obra consiste en la puesta en valor del autódromo de la ciudad de bs. as. las tareas a ejecutar corresponden a la puesta en valor de los sanitarios.,1875949.0,villa riachuelo,8,"paz, gral. av. y roca, cnel. av.",2017-08-23,2017-11-21,3,100.0,A.E. Ponce Ingenieria S.A.,30714763098,2017,Contratación Directa,20-CBAS-2017,indeterminado,indeterminado,indeterminado
Espacio Público,Autódromo Oscar Y Alfredo Gálvez: Puesta En Valor Autódromo De Bs. As. Oscar Y Juan Gálvez - Intervención Palco B,Finalizada,Corporación Buenos Aires Sur,la obra consiste en la puesta en valor del autódromo de la ciudad de bs. as. las tareas a ejecutar corresponden a la puesta en valor de la palco b.,1283329.0,villa riachuelo,8,"paz, gral. av. y roca, cnel. av.",2017-06-15,2017-07-15,1,100.0,Arco S.R.L,30657249765,2017,Contratación Directa,21-CBAS-2017,indeterminado,indeterminado,indeterminado
Espacio Público,Autódromo Oscar Y Alfredo Gálvez: Puesta En Valor Autódromo De Bs. As. Oscar Y Juan Gálvez - Estructura Para Lonas En Escaleras,Finalizada,Corporación Buenos Aires Sur,la obra consiste en la puesta en valor del autódromo de la ciudad de bs. as. las tareas a ejecutar corresponden al montaje de estructuras soporte lonas en escaleras,2615466.0,villa riachuelo,8,"paz, gral. av. y roca, cnel. av.",2017-10-07,2017-08-29,6,100.0,Piedra Roble S.A,30715288318,2017,Contratación Directa,22-CBAS-2017,indeterminado,indeterminado,indeterminado
Espacio Público,Autódromo Oscar Y Alfredo Gálvez: Puesta En Valor Autódromo De Bs. As. Oscar Y Juan Gálvez - Cama De Hormigón Triturado â Circuito Nº 12 â Obra Civil,Finalizada,Corporación Buenos Aires Sur,"la obra consiste en la remoción y limpieza de suelo vegetal, en la zona de la curva principal, excavación y armado del cajón para colocación del material, dicho desmonte es de aproximadamente 0,20 m. en toda la superficie de la curva, para luego realiza colocación del hormigón triturado y distribución en forma superficial y pareja de 0,25 m de espesor aproximadamente.",7346340.0,villa riachuelo,8,"paz, gral. av. y roca, cnel. av.",2017-06-15,2017-07-15,1,100.0,Arco S.R.L,30657249765,2017,Contratación Directa,23-CBAS-2017,indeterminado,indeterminado,indeterminado
Espacio Público,Autódromo Oscar Y Alfredo Gálvez: Puesta En Valor Autódromo De Bs. As. Oscar Y Juan Gálvez - Intervención Acceso,Finalizada,Corporación Buenos Aires Sur,"la obra consiste en la puesta en valor del autódromo de la ciudad de bs. as. reparación, pintura y reacondicionamiento general del acceso.",1649652.0,villa riachuelo,8,"paz, gral. av. y roca, cnel. av.",2017-11-07,2017-10-08,1,100.0,Isofil S.A.I.Y C.,30552340090,2017,Contratación Directa,24-CBAS-2017,indeterminado,indeterminado,indeterminado
Espacio Público,Autódromo Oscar Y Alfredo Gálvez: Puesta En Valor Autódromo De Bs. As. Oscar Y Juan Gálvez - Intervención Tanque De Agua,Finalizada,Corporación Buenos Aires Sur,la obra consiste en la puesta en valor del autódromo de la ciudad de bs. as las tareas a ejecutar corresponden a la puesta en valor del tanque de agua.,994435.0,villa riachuelo,8,"paz, gral. av. y roca, cnel. av.",2017-06-16,2017-11-07,1,100.0,Arco S.R.L,30657249765,2017,Contratación Directa,25-CBAS-2017,indeterminado,indeterminado,indeterminado
Espacio Público,Autódromo Oscar Y Alfredo Gálvez: Puesta En Valor Autódromo De Bs. As. Oscar Y Juan Gálvez - Intervención Plaza De Honor,Finalizada,Corporación Buenos Aires Sur,"la obra consiste en la puesta en valor del autódromo de la ciudad de bs as.las tareas a ejecutar corresponden a la puesta en valor de la plaza de honor, antigua fuente y monumento central.",3578479.0,villa riachuelo,8,"paz, gral. av. y roca, cnel. av.",2017-07-07,2017-11-08,1,100.0,Mel Contrucciones S.R.L,33714510679,2017,Contratación Directa,26-CBAS-2017,indeterminado,indeterminado,indeterminado
Espacio Público,Autódromo Oscar Y Alfredo Gálvez: Puesta En Valor Autódromo De Bs. As. Oscar Y Juan Gálvez - Intervención Muro Perimetral,Finalizada,Corporación Buenos Aires Sur,la obra consiste en la puesta en valor del autódromo de la ciudad de bs as. las tareas a ejecutar corresponden a la pintura y reparación del muro perimetral del autódromo.,3659055.0,villa riachuelo,8,"paz, gral. av. y roca, cnel. av.",2017-07-07,2017-06-08,1,100.0,Garrido Marcelo Pablo,20182721094,2017,Contratación Directa,27-CBAS-2017,indeterminado,indeterminado,indeterminado
Espacio Público,Autódromo Oscar Y Alfredo Gálvez: Puesta En Valor Autódromo De Bs. As. Oscar Y Juan Gálvez - Intervención Túnel Peatonal,Finalizada,Corporación Buenos Aires Sur,la obra consiste en la puesta en valor del autódromo de la ciudad de bs as.las tareas a ejecutar corresponden a la puesta en valor del túnel peatonal.,931469.0,villa riachuelo,8,"paz, gral. av. y roca, cnel. av.",2017-06-26,2017-11-07,6,100.0,Neltec S.R.L.,30707902341,2017,Contratación Directa,28-CBAS-2017,indeterminado,indeterminado,indeterminado
Espacio Público,Autódromo Oscar Y Alfredo Gálvez: Puesta En Valor Autódromo De Bs. As. Oscar Y Juan Gálvez - Estructura Sobre Barandas En Plateas,Finalizada,Corporación Buenos Aires Sur,"la obra consiste en la puesta en valor del autódromo de la ciudad de bs as.las tareas a ejecutar corresponden a la materialización de una estructura metálica alrededor de las plateas sobre las barandas existentes, logrando alcanzar una altura de 2.00 mts.",227617.0,villa riachuelo,8,"paz, gral. av. y roca, cnel. av.",2017-07-07,2017-07-27,6,100.0,Mel Contrucciones S.R.L,33714510679,2017,Contratación Directa,29-CBAS-2017,indeterminado,indeterminado,indeterminado
Espacio Público,Autódromo Oscar Y Alfredo Gálvez: Puesta En Valor Autódromo De Bs. As. Oscar Y Juan Gálvez - Intervención Tribuna Central,Finalizada,Corporación Buenos Aires Sur,"la obra consiste en la puesta en valor del autódromo de la ciudad de bs as, las tareas a ejecutar corresponden a la puesta en valor de la tribuna central",1782915.0,villa riachuelo,8,"paz, gral. av. y roca, cnel. av.",2017-12-07,2017-11-08,1,100.0,Cylp S. A,30567789000,2017,Contratación Directa,30-CBAS-2017,indeterminado,indeterminado,indeterminado
Espacio Público,Autódromo Oscar Y Alfredo Gálvez: Puesta En Valor Autódromo De Bs. As. Oscar Y Juan Gálvez - Intervención Horquilla,Finalizada,Corporación Buenos Aires Sur,la obra consiste en la puesta en valor del autódromo de la ciudad de bs as.las tareas a ejecutar corresponden a la puesta en valor de la horquilla,2272672.0,villa riachuelo,8,"paz, gral. av. y roca, cnel. av.",2017-07-21,2017-08-20,1,100.0,Oznerol S.A.,30714746371,2017,Contratación Directa,31-CBAS-2017,indeterminado,indeterminado,indeterminado
Espacio Público,Autódromo Oscar Y Alfredo Gálvez: Puesta En Valor Autódromo De Bs. As. Oscar Y Juan Gálvez - Provisión E Instalación De Butacas En Platea A,Finalizada,Corporación Buenos Aires Sur,la obra consiste en la puesta en valor del autódromo de la ciudad de bs aslas tareas a ejecutar corresponden a la provisión e instalación de butacas en el sector de platea a.,840030.0,villa riachuelo,8,"paz, gral. av. y roca, cnel. av.",2017-06-16,2017-01-07,6,100.0,Diseño Y Equipamientos S.R.L.,30708288353,2017,Contratación Directa,33-CBAS-2017,indeterminado,indeterminado,indeterminado
Espacio Público,Centro Comercial A Cielo Abierto Av. Almirante Brown (E/ Av. Pedro De Mendoza Y Av. Martí­n Garcí­a),Finalizada,Ministerio de Espacio Público e Higiene Urbana,"esta obra tuvo como principal objetivo la puesta en valor del espacio público en la avenida almirante brown con el objetivo de incentivar el uso, goce y tránsito seguro del espacio urbano. se repararon veredas, se incorporaron elementos de alumbrado y se realizó el completamiento del arbolado.",34736770.0,la boca,4,"rodriguez, martin y villafaíe, wenceslao",2017-01-05,2017-01-12,0,100.0,Dynco S.A,30708802812,2016,nan,,indeterminado,indeterminado,indeterminado
Espacio Público,Autódromo Oscar Y Alfredo Gálvez: Puesta En Valor Autódromo De Bs. As. Oscar Y Juan Gálvez - Provisión E Instalación De Butacas En Tribuna Central,Finalizada,Corporación Buenos Aires Sur,la obra consiste en la puesta en valor del autódromo de la ciudad de bs aslas tareas a ejecutar corresponden a la provisión e instalación de butacas en el sector de la tribuna central,1436125.0,villa riachuelo,8,"paz, gral. av. y roca, cnel. av.",2017-06-16,2017-07-16,1,100.0,Diseño Y Equipamientos S.R.L.,30708288353,2017,Contratación Directa,35-CBAS-2017,indeterminado,indeterminado,indeterminado
Espacio Público,Parque Patricios: Área de servicios.,Finalizada,Ministerio de Espacio Público e Higiene Urbana,"se incorporó un área de servicios en espacios verdes en el playón lindero a la biblioteca infantil enrique banchs, la cual se conserva intacta. el programa consta de un sector de confiterí­a (50m2) y un núcleo de sanitarios (40m2) con accesibilidad universal que cumplimientan lo normado por la ley 4950. también se incorporó equipamiento exterior en el parque, como bicicleteros, bancos y equipos de actividad fí­sica.",5818288.0,parque patricios,4,indeterminado,2017-01-07,2017-01-08,0,100.0,Ingenor S.A,30631453461,2016,nan,,indeterminado,indeterminado,indeterminado
